AMZN,Open,High,Low,Close,Volume,10 day average,20 day average,50 day average,Daily Return
2019-09-27,1748.0,1749.12,1713.82,1725.45,3948028,1782.404,1801.14,1824.9358000000002,-0.00827087548280292
2019-09-30,1726.99,1737.46,1709.22,1735.91,2760767,1775.211,1799.1209999999999,1820.3636000000001,0.006062186675939607
2019-10-01,1746.0,1755.6,1728.41,1735.65,3170459,1766.521,1796.4115000000002,1815.364,-0.00014977735020826888
2019-10-02,1727.74,1728.89,1705.0,1713.23,3338475,1756.098,1792.0420000000001,1809.7387999999999,-0.012917350848385412
2019-10-03,1713.0,1725.0,1685.06,1724.42,3624370,1746.39,1786.227,1804.2109999999998,0.00653152232916776
2019-10-04,1726.02,1740.575,1719.23,1739.65,2489276,1740.9389999999999,1781.534,1799.5276000000001,0.00883195509214696
2019-10-07,1731.63,1747.83,1723.7,1732.66,2187597,1735.675,1776.5994999999998,1795.3198000000002,-0.004018049607679708
2019-10-08,1722.49,1727.0,1705.0,1705.51,2626839,1732.065,1770.8475000000003,1791.181,-0.01566954855540037
2019-10-09,1719.61,1729.95,1714.36,1721.99,2089334,1727.431,1765.7975,1787.6502000000003,0.00966279881091281
2019-10-10,1725.24,1738.29,1713.75,1720.26,2721530,1725.473,1759.6330000000003,1784.7198,-0.0010046515949569956
2019-10-11,1742.92,1745.45,1729.86,1731.92,3279533,1726.1200000000001,1754.262,1782.2518,0.006778045179217207
2019-10-14,1728.91,1741.889,1722.0,1736.43,1928897,1726.172,1750.6915000000001,1780.5156000000002,0.0026040463762759813
2019-10-15,1742.14,1776.45,1740.62,1767.38,3129243,1729.345,1747.9329999999998,1780.5606,0.01782392610125383
2019-10-16,1773.33,1786.24,1770.521,1777.43,2804067,1735.765,1745.9315,1780.3526000000002,0.0056863832339395515
2019-10-17,1796.49,1798.85,1782.02,1787.48,2713772,1742.071,1744.2305000000001,1780.2342,0.005654231108960683
2019-10-18,1787.8,1793.98,1749.2,1757.51,3366090,1743.857,1742.398,1778.7266,-0.016766621164992057
2019-10-21,1769.66,1785.88,1765.0,1785.66,2224901,1749.157,1742.416,1778.2882,0.01601697856626716
2019-10-22,1788.15,1789.78,1762.0,1765.73,2234424,1755.179,1743.622,1777.9043999999997,-0.011161139298634715
2019-10-23,1761.3,1770.05,1742.0,1762.17,2190379,1759.1970000000001,1743.3139999999999,1776.661,-0.0020161632865726142
2019-10-24,1771.09,1788.338,1760.27,1780.78,5204349,1765.2490000000003,1745.361,1777.0174000000002,0.010560842597479247
2019-10-25,1697.55,1764.21,1695.0,1761.33,9626401,1768.19,1747.155,1776.7215999999999,-0.01092218016824087
2019-10-28,1748.06,1778.7,1742.5,1777.08,3708850,1772.2549999999999,1749.2135000000003,1776.4117999999999,0.008942106249254733
2019-10-29,1774.81,1777.0,1755.81,1762.71,2276854,1771.788,1750.5665000000001,1775.3436000000002,-0.008086298872307274
2019-10-30,1760.24,1782.38,1759.115,1779.99,2449404,1772.0439999999999,1753.9044999999999,1774.9158000000002,0.009803087291726964
2019-10-31,1775.99,1792.0,1771.475,1776.66,2781184,1770.962,1756.5165000000002,1773.9781999999998,-0.0018707970269495888
2019-11-01,1788.01,1797.445,1785.21,1791.44,2790353,1774.355,1759.1059999999998,1773.695,0.008318980559026468
2019-11-04,1801.01,1815.06,1801.01,1804.66,2771921,1776.2549999999999,1762.7060000000001,1774.7958,0.007379538248559747
2019-11-05,1809.16,1810.25,1794.0,1801.71,1885542,1779.8529999999998,1767.516,1775.4525999999998,-0.0016346569436902492
2019-11-06,1801.0,1802.5,1788.58,1795.77,2029782,1783.2130000000002,1771.205,1776.1313999999998,-0.00329686797542339
2019-11-07,1803.76,1805.9,1783.48,1788.2,2651085,1783.955,1774.602,1776.6103999999998,-0.004215461890999417
2019-11-08,1787.89,1789.88,1774.04,1785.88,2126197,1786.4099999999999,1777.3,1776.6,-0.0012973940275137208
2019-11-11,1778.0,1780.0,1767.13,1771.65,1947809,1785.8669999999997,1779.0610000000001,1776.5071999999998,-0.007968060563979695
2019-11-12,1774.66,1786.22,1771.91,1778.0,2038924,1787.396,1779.592,1776.2703999999999,0.0035842293906809264
2019-11-13,1773.39,1775.0,1747.322,1753.11,2926891,1784.708,1778.3760000000002,1775.3201999999999,-0.013998875140607492
2019-11-14,1751.43,1766.593,1749.56,1754.6,2269416,1782.502,1776.732,1773.5978,0.0008499181454673099
2019-11-15,1760.05,1761.68,1732.86,1739.49,3931140,1777.307,1775.8309999999997,1771.7174000000002,-0.008611649378775788
2019-11-18,1738.3,1753.7,1722.71,1752.53,2841906,1772.0940000000003,1774.1745000000003,1770.141,0.007496450108939845
2019-11-19,1756.99,1760.68,1743.03,1752.79,2274534,1767.202,1773.5274999999997,1768.7857999999999,0.0001483569468139212
2019-11-20,1749.14,1762.524,1734.12,1745.53,2793758,1762.1779999999999,1772.6955000000003,1767.2366,-0.004141967948242509
2019-11-21,1743.0,1746.87,1730.36,1734.71,2662937,1756.8290000000002,1770.3920000000003,1765.0598,-0.006198690369114246
2019-11-22,1739.02,1746.43,1731.0,1745.72,2479080,1752.813,1769.6115000000002,1763.1874000000003,0.006346882187800773
2019-11-25,1753.25,1777.42,1753.24,1773.84,3489466,1753.032,1769.4495,1762.5074,0.016107966913365246
2019-11-26,1779.92,1797.03,1778.35,1796.94,3190427,1754.926,1771.161,1761.9952000000003,0.013022595048031382
2019-11-27,1801.0,1824.5,1797.31,1818.51,3035845,1761.466,1773.087,1762.0162,0.012003739690807702
2019-11-29,1817.78,1824.69,1800.79,1800.8,1923439,1766.086,1774.2939999999999,1761.6022,-0.009738742157040625
