AAPL,Open,High,Low,Close,Volume,10 day average,20 day average,50 day average,Daily Return
2010-10-21,9.41942,9.49348,9.25327,9.33544,648157784.19899,9.207288,8.9316195,8.252665400000001,-0.003271379275000874
2010-10-22,9.32063,9.35136,9.23767,9.27324,438121257.45664,9.247636,8.954464499999998,8.2862446,-0.006662781829244291
2010-10-25,9.32361,9.39867,9.30275,9.3157,455755841.36446,9.288408,8.981184500000001,8.3223006,0.004578766428993575
2010-10-26,9.25545,9.34237,9.21821,9.29051,460396139.68693,9.317052,9.013124999999999,8.358726,-0.002704037270414461
2010-10-27,9.27443,9.34741,9.21654,9.28349,464884758.75701,9.340172,9.043939499999999,8.3924052,-0.0007556097566224773
2010-10-28,9.28766,9.28954,9.0751,9.20596,649580523.01133,9.348961,9.07635,8.42387,-0.008351385093321673
2010-10-29,9.17832,9.22522,9.07403,9.07747,504571612.00897,9.30736,9.104167499999999,8.454689,-0.01395726246909601
2010-11-01,9.12745,9.21654,9.11411,9.17327,500141864.84783,9.26566,9.1426265,8.4875782,0.010553601388933354
2010-11-02,9.26632,9.3553,9.2594,9.33052,511297406.14385,9.265168,9.173432000000002,8.5259114,0.017142196839295076
2010-11-03,9.39472,9.4372,9.30572,9.43422,601327026.3804,9.271982,9.2090275,8.5698806,0.01111406438226381
2010-11-04,9.50533,9.65745,9.50236,9.59818,758812047.70587,9.298255999999999,9.252772,8.6153294,0.017379285197928418
2010-11-05,9.59027,9.63866,9.55176,9.56361,427027326.83947,9.327293000000001,9.2874645,8.661659,-0.0036017244936017434
2010-11-08,9.56361,9.64459,9.55273,9.60903,331559739.77958,9.356626,9.322517000000001,8.7080814,0.004749252635772416
2010-11-09,9.68113,9.69002,9.48656,9.53299,452727070.67929,9.380874,9.348963,8.7524614,-0.007913389801051829
2010-11-10,9.55077,9.61299,9.45792,9.59225,451534115.16655,9.41175,9.375961,8.7976674,0.006216307790105846
2010-11-11,9.50236,9.60212,9.47865,9.54879,427265557.29513,9.446033,9.397497,8.837644200000002,-0.004530740962756297
2010-11-12,9.51622,9.54484,9.15739,9.28954,941378013.88711,9.46724,9.3873,8.8713278,-0.027150036810946743
2010-11-15,9.30375,9.36608,9.23668,9.26038,476590037.48667,9.475950999999998,9.3708055,8.9004558,-0.003139014418367392
2010-11-16,9.21475,9.27717,9.02689,9.09564,777897581.27457,9.452463,9.3588155,8.9268442,-0.01778976672663546
2010-11-17,9.08015,9.16874,8.98009,9.06344,566774463.52697,9.415385,9.343683500000001,8.949529,-0.003540157701931834
2010-11-18,9.21288,9.3404,9.18917,9.30275,583256919.33677,9.385842,9.342049,8.9769088,0.026403881969759846
2010-11-19,9.28954,9.30177,9.20596,9.25131,455294461.40599,9.354612,9.3409525,9.003054400000002,-0.005529547714385519
2010-11-22,9.25042,9.452,9.22502,9.452,463721739.36597,9.338909000000001,9.3477675,9.031019200000001,0.021693143997985054
2010-11-23,9.36509,9.40262,9.24616,9.31156,612940826.14596,9.316766,9.34882,9.0555472,-0.01485823106220907
2010-11-24,9.41052,9.51423,9.40262,9.49545,489834409.71821,9.307086,9.359418000000002,9.0824614,0.019748570593971282
2010-11-26,9.45792,9.58139,9.43914,9.50138,281529770.69037,9.302344999999999,9.374189,9.1056636,0.0006245096335613098
2010-11-29,9.53792,9.57447,9.39176,9.55571,523520839.88607,9.328962,9.398101,9.130677200000001,0.0057181167367266195
2010-11-30,9.45692,9.48261,9.37605,9.38484,592950178.23573,9.341408,9.4086795,9.147527,-0.01788145517182904
2010-12-01,9.52015,9.58336,9.50138,9.54188,544009947.9653,9.386032,9.419247499999999,9.167193600000001,0.016733369988193747
2010-12-02,9.57546,9.6209,9.49843,9.5952,548063977.41006,9.439207999999999,9.4272965,9.1855282,0.005587997333858619
2010-12-03,9.55768,9.61003,9.54088,9.57348,405026143.40045,9.466280999999999,9.4260615,9.2027236,-0.0022636318159079405
2010-12-06,9.60609,9.72164,9.60212,9.65645,526606386.63781,9.506795,9.4307035,9.2195258,0.008666649953830818
2010-12-07,9.76804,9.77102,9.59423,9.59718,461585139.42373,9.521313,9.430111,9.2358434,-0.006137866400178105
2010-12-08,9.64459,9.68212,9.56261,9.68212,379735090.85144,9.558368999999999,9.4375675,9.2564518,0.008850516505890305
2010-12-09,9.72459,9.72657,9.62187,9.6436,347606100.39998,9.573184000000001,9.440135,9.2759798,-0.0039784675257071855
2010-12-10,9.64065,9.68311,9.60804,9.66829,310685074.66206,9.589875000000001,9.446110000000001,9.2981906,0.0025602472105854535
2010-12-13,9.78188,9.80263,9.68113,9.70089,519648264.8304,9.604393,9.4666775,9.321786000000001,0.003371847555255325
2010-12-14,9.71077,9.72757,9.6209,9.66038,415555247.53125,9.631947,9.486677499999999,9.3469118,-0.004175905509700595
2010-12-15,9.65545,9.74139,9.62682,9.66238,491653420.6896,9.643997,9.5150145,9.365871199999999,0.00020703119338993936
2010-12-16,9.6841,9.72953,9.65545,9.68805,380439155.18378,9.653282,9.546245,9.385186,0.0026566953483511124
2010-12-17,9.69201,9.70485,9.65842,9.66929,457547715.73309,9.662863,9.564572,9.404106,-0.0019364061911324448
2010-12-20,9.69299,9.74831,9.59818,9.71768,454770920.98971,9.668986,9.5878905,9.4210644,0.005004503950134964
2010-12-21,9.74532,9.78288,9.71177,9.77693,302947044.33995,9.686961,9.604137,9.4384434,0.0060971342954285745
2010-12-22,9.78188,9.82237,9.7582,9.80657,314756729.43256,9.699406,9.6288875,9.4544934,0.0030316264921605995
2010-12-23,9.80066,9.80558,9.74731,9.76014,264084544.62366,9.71106,9.642121999999999,9.4686504,-0.0047345810002886735
2010-12-27,9.74731,9.81448,9.69595,9.79175,295182537.55483,9.723406,9.6566405,9.482124,0.0032386830516775156
2010-12-28,9.82929,9.852,9.80263,9.81546,207931926.3647,9.734863,9.669628,9.488563599999999,0.0024214262006281295
2010-12-29,9.83522,9.84508,9.8036,9.81051,193144024.93781,9.749876,9.6909115,9.4929684,-0.0005043064716273582
2010-12-30,9.81349,9.81644,9.74338,9.76212,186407279.77332,9.75985,9.701923500000001,9.501501999999999,-0.004932465284679499
2010-12-31,9.74139,9.75621,9.69002,9.72855,229008970.88321,9.763900000000001,9.708591,9.5087514,-0.0034388022273849073
2011-01-03,9.79571,9.95964,9.79571,9.93896,526221608.19991,9.790867,9.726865,9.5208218,0.02162809462869597
2011-01-04,10.0288,10.0288,9.89645,9.99124,365741088.44657,9.818223,9.7436045,9.535181799999998,0.00526010769738483
2011-01-05,9.95168,10.0851,9.93697,10.0742,300072290.73331,9.84795,9.7674555,9.5503518,0.008303273667732869
2011-01-06,10.1049,10.1118,10.0407,10.0662,355058144.422,9.873913,9.7866595,9.5658656,-0.0007941077207122005
2011-01-07,10.0781,10.1444,10.01,10.1384,367314147.75744,9.911739,9.8113995,9.5829638,0.0071725179312949194
2011-01-10,10.2194,10.3538,10.1701,10.328,530288714.89119,9.965364,9.844384999999999,9.6054046,0.0187011757279254
2011-01-11,10.4052,10.4062,10.2372,10.3043,524118095.23035,10.014247999999998,9.874555500000001,9.629941200000001,-0.0022947327652982352
2011-01-12,10.3587,10.3893,10.3142,10.3893,357644066.64784,10.072127,9.911001500000001,9.6542618,0.00824898343410041
2011-01-13,10.4111,10.4544,10.3714,10.4258,351123184.13705,10.138494999999999,9.9491725,9.676167399999999,0.0035132299577449455
2011-01-14,10.4356,10.5077,10.3893,10.5077,364138230.71185,10.21641,9.990155,9.697637,0.007855512286826905
2011-01-18,9.86386,10.3992,9.83026,10.2738,2204791223.9671,10.249894000000001,10.0203805,9.7111494,-0.022259866574036224
2011-01-19,10.5117,10.5127,10.1602,10.2194,1341657304.1106,10.27271,10.0454665,9.7242652,-0.005295022289707685
2011-01-20,10.1404,10.2016,9.95565,10.0348,904421545.12568,10.26877,10.05836,9.7327806,-0.01806368279938153
2011-01-21,10.0742,10.1019,9.85003,9.853,892099128.89862,10.247449999999999,10.060681500000001,9.7391808,-0.018116953003547764
2011-01-24,9.86386,10.1769,9.853,10.1769,678606267.47395,10.251299999999999,10.0815195,9.7508738,0.03287323657769203
2011-01-25,10.1404,10.2985,10.0921,10.2975,644260538.95219,10.24825,10.106807,9.765848,0.011850367007634866
2011-01-26,10.343,10.4239,10.3004,10.3714,599496381.96503,10.25496,10.134604,9.787485199999999,0.007176499150279181
2011-01-27,10.3724,10.3973,10.34,10.3528,336985995.19764,10.25131,10.161718500000001,9.8093336,-0.0017933933702295457
2011-01-28,10.3853,10.3883,10.0604,10.1374,699949948.70613,10.22247,10.1804825,9.830168800000001,-0.020805965535893756
2011-01-31,10.1314,10.2549,10.0841,10.2334,446268491.38658,10.19504,10.205725000000001,9.853568000000001,0.00946988379663427
2011-02-01,10.3014,10.4249,10.2846,10.4082,503754164.62836,10.20848,10.229187,9.875677000000001,0.017081321945785488
2011-02-02,10.3893,10.4131,10.3615,10.3853,306257525.60425,10.22507,10.24889,9.898356799999998,-0.0022001883130609023
2011-02-03,10.3674,10.3833,10.2095,10.3597,465602976.60663,10.25756,10.263165,9.9165108,-0.002465022676282902
2011-02-04,10.3635,10.4564,10.3615,10.4505,380583789.57078,10.31731,10.28238,9.9392896,0.008764732569475964
2011-02-07,10.495,10.654,10.4852,10.6125,573367030.93485,10.36087,10.306085,9.9616306,0.01550165063872555
2011-02-08,10.6629,10.722,10.6205,10.7124,449954197.2874,10.40236,10.325305,9.985851,0.009413427561837384
2011-02-09,10.7124,10.8278,10.7024,10.8031,570809992.85957,10.44553,10.350245,10.010798800000002,0.008466823494268416
2011-02-10,10.7922,10.8565,10.495,10.6935,1098127698.2794,10.479600000000001,10.365455,10.036971999999999,-0.010145236089641019
