AMZN,Open,High,Low,Close,Volume,10 day average,20 day average,50 day average,Daily Return
2010-11-12,170.12,171.26,165.05,165.68,7167316,168.7,167.0265,157.916596,-0.027528320713740673
2010-11-15,165.16,165.35,158.56,158.9,9648533,168.33200000000002,166.7935,158.318796,-0.040922259777885106
2010-11-16,158.74,160.91,156.77,157.78,6573782,167.649,166.74900000000002,158.729996,-0.007048458149779724
2010-11-17,157.84,160.85,157.55,158.35,4527205,166.637,166.733,159.114196,0.0036126251742931714
2010-11-18,160.7401,165.0,160.7401,164.17,6230843,166.161,166.69299999999998,159.58999599999999,0.03675402589201138
2010-11-19,163.95,164.99,162.84,164.82,4466199,165.566,166.47750000000002,160.037596,0.0039593104708535165
2010-11-22,165.1,170.6,165.0,170.39,6149609,165.406,166.547,160.543996,0.03379444242203622
2010-11-23,168.61,168.81,164.62,168.2,6472592,165.19899999999998,166.4595,160.99299599999998,-0.012852866952285935
2010-11-24,171.53,177.89,171.53,177.25,10055739,165.59099999999998,166.94650000000001,161.628996,0.053804994054696964
2010-11-26,177.36,178.38,176.16,177.5,4272137,166.304,167.4795,162.21639599999997,0.0014104372355430161
2010-11-29,179.99,181.8425,177.57,179.49,9699539,167.685,168.1925,162.839696,0.011211267605633957
2010-11-30,176.95,177.7,174.9,175.4,6767224,169.33499999999998,168.83350000000002,163.3216,-0.022786784779096347
2010-12-01,179.16,179.32,176.0,176.55,5778756,171.212,169.4305,163.83800000000002,0.006556442417331887
2010-12-02,176.86,177.45,173.92,176.53,5541682,173.03000000000003,169.83350000000002,164.332,-0.00011328235627305894
2010-12-03,175.5,176.4,174.05,175.68,4909658,174.18099999999998,170.171,164.7886,-0.004815045601314183
2010-12-06,175.52,178.43,174.6,178.05,5663481,175.504,170.535,165.135,0.01349043715846987
2010-12-07,180.5,181.47,176.57,176.77,5079927,176.142,170.774,165.483,-0.007188991856220128
2010-12-08,177.49,178.16,175.2,176.29,3735997,176.95100000000002,171.075,165.8148,-0.002715392883407941
2010-12-09,177.77,178.11,173.8,174.85,4555973,176.711,171.151,166.132,-0.008168358953996258
2010-12-10,174.88,175.95,173.36,175.62,3566522,176.52300000000002,171.4135,166.5032,0.004403774663997773
2010-12-13,176.33,177.94,173.73,174.25,4206510,175.99900000000002,171.842,166.914,-0.007800933834415269
2010-12-14,174.28,175.76,173.09,173.94,3689527,175.853,172.594,167.285,-0.0017790530846485408
2010-12-15,173.72,179.0,173.5909,175.57,5817619,175.75500000000002,173.4835,167.57899999999998,0.009371047487639395
2010-12-16,175.58,178.3,175.04,178.04,4123221,175.906,174.468,168.0318,0.014068462721421593
2010-12-17,178.41,178.75,177.02,177.58,4508073,176.096,175.1385,168.458,-0.002583689058638372
2010-12-20,179.27,183.98,178.04,183.29,8735271,176.61999999999998,176.062,169.0128,0.03215452190561985
2010-12-21,183.88,185.65,182.6001,184.75,5112752,177.41799999999998,176.78000000000003,169.64719999999997,0.007965519122701714
2010-12-22,185.0,185.45,184.11,184.76,2580839,178.265,177.608,170.2128,5.412719891739748e-05
2010-12-23,184.34,184.98,181.8905,182.59,3359879,179.03900000000002,177.875,170.7612,-0.011744966442952975
2010-12-27,181.902,183.14,180.45,182.14,2249733,179.69099999999997,178.107,171.2934,-0.0024645380360370783
2010-12-28,182.1,182.77,181.05,181.09,1975717,180.375,178.187,171.62239999999997,-0.005764796310530285
2010-12-29,181.8,184.35,180.41,183.37,3122378,181.318,178.5855,172.0186,0.01259042465072624
2010-12-30,183.92,184.55,182.75,182.75,1961548,182.036,178.8955,172.5002,-0.0033811419534275355
2010-12-31,181.96,182.3,179.51,180.0,3453894,182.232,179.06900000000002,172.92680000000001,-0.015047879616963078
2011-01-03,181.37,186.0,181.21,184.22,5333812,182.89600000000002,179.49599999999998,173.3118,0.02344444444444438
2011-01-04,186.15,187.6995,183.78,185.01,5034774,183.068,179.844,173.62939999999998,0.004288350884811498
2011-01-05,184.1,187.45,184.07,187.42,3418778,183.33499999999998,180.37650000000002,173.99779999999998,0.01302632290146466
2011-01-06,186.5,187.41,185.25,185.86,3179609,183.445,180.85500000000002,174.31600000000003,-0.008323551381922867
2011-01-07,187.88,188.45,183.74,185.49,5222814,183.73499999999999,181.387,174.6756,-0.0019907457225869507
